Date_Time,Model_Name,Train_AUC,Validation_AUC,Accuracy,Precision,Recall,F1_Score,Log_Loss,MCC,Balanced_Accuracy,Confusion_Matrix_TP,Confusion_Matrix_FP,Confusion_Matrix_FN,Confusion_Matrix_TN,Model_Filename,Learning_Rate,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Reg_Lambda,Reg_Alpha,random_state,scale_pos_weight,kaggle_score
20230628_175613,XGBoost,0.999932208,0.971198423,0.984719864,0.840909091,0.818027211,0.829310345,0.059288552,0.821399509,0.905335352,481,91,107,12279,Models\XGBoost_model-20230628_175613.pickle,0.005,2000,14.0,6.0,0.15,0.9,0.6,1.1,1.1,,22.50566893,
20230628_181044,XGBoost,0.999941219,0.971286,0.984642692,0.839441536,0.818027211,0.828596038,0.058904114,0.820633732,0.905294931,481,92,107,12278,Models\XGBoost_model-20230628_181044.pickle,0.005,2000,14.0,6.0,0.15,0.9,0.6,1.1,1.1,,22.50566893,0.95352
20230628_184644,XGBoost,0.999770332,0.966826051,0.978623244,0.711507293,0.81598513,0.76017316,0.084593529,0.750966943,0.900826704,439,178,99,12242,Models\XGBoost_model-20230628_184644.pickle,0.005,2200,10.0,6.0,0.2,0.9,0.6,1.1,1.1,,21.98447894,
20230628_190442,XGBoost,0.999764133,0.966829493,0.978391727,0.708064516,0.81598513,0.7582038,0.084586665,0.749013204,0.900705931,439,181,99,12239,Models\XGBoost_model-20230628_190442.pickle,0.005,2200,10.0,6.0,0.2,0.9,0.6,1.1,1.1,,21.98447894,
20230628_235349,XGBoost,0.9999953007518796,0.9848764534512932,0.9881154499151104,0.9147609147609148,0.7956600361663653,0.851063829787234,0.0407481280852694,0.8471358902020082,0.8961774586313487,440,41,113,12364,Models\XGBoost_model-20230628_235349.pickle,0.005,2200,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.138392857142858,
20230628_235643,XGBoost,0.9999963270244576,0.9850292239100344,0.9881154499151104,0.9130434782608696,0.7974683544303798,0.8513513513513514,0.0410206521786469,0.8472914027852173,0.8970413114352624,441,42,112,12363,Models\XGBoost_model-20230628_235643.pickle,0.005,2200,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.138392857142858,
20230628_235932,XGBoost,0.9999967861464004,0.9847835958346726,0.9885013119308536,0.9190871369294604,0.8010849909584087,0.8560386473429951,0.0408215543938998,0.8522570087788199,0.8989705486835574,443,39,110,12366,Models\XGBoost_model-20230628_235932.pickle,0.005,2200,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.138392857142858,
20230629_000503,XGBoost,0.9999970306179572,0.9823994692860712,0.9872665534804754,0.9070247933884298,0.7853309481216458,0.8418024928092043,0.0426368248093459,0.8375576255504801,0.8908508115880429,439,45,120,12354,Models\XGBoost_model-20230629_000503.pickle,0.008,1500,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.20053715308863,
20230629_000706,XGBoost,0.9999972652803676,0.9825558671489608,0.987343725883624,0.9106029106029108,0.7835420393559929,0.8423076923076923,0.0432929662371793,0.8383153552707413,0.8900370088706733,438,43,121,12356,Models\XGBoost_model-20230629_000706.pickle,0.008,1500,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.20053715308863,
20230629_000906,XGBoost,0.9999964710383624,0.9816096889341732,0.9869578638678808,0.8995901639344263,0.7853309481216458,0.8385864374403057,0.0435481300601007,0.8339074245495264,0.8906895082571291,439,49,120,12350,Models\XGBoost_model-20230629_000906.pickle,0.008,1500,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.20053715308863,
20230629_001115,XGBoost,0.9999964710383624,0.9819334498237712,0.9871893810773268,0.9051546391752576,0.7853309481216458,0.8409961685823756,0.0427884484365325,0.8366409291542892,0.8908104857553144,439,46,120,12353,Models\XGBoost_model-20230629_001115.pickle,0.008,1500,11.0,4.0,0.2,0.9,0.4,0.9,0.9,,22.20053715308863,
20230629_073422,XGBoost,0.9999763710133118,0.9777123826701845,0.9863404846426918,0.8660550458715597,0.8194444444444444,0.8421052631578948,0.0511866789071603,0.8353214158208564,0.9067743947307024,472,73,104,12309,Models\XGBoost_model-20230629_073422.pickle,0.008,1500,9.0,4.0,0.1,0.6,0.8,0.5,0.5,,22.378439332431213,
20230629_073626,XGBoost,0.9999740253886236,0.9770036085087672,0.9861089674332458,0.86,0.8211805555555556,0.8401420959147424,0.0512703153267313,0.8331279104858882,0.907480925492202,473,77,103,12305,Models\XGBoost_model-20230629_073626.pickle,0.008,1500,9.0,4.0,0.1,0.6,0.8,0.5,0.5,,22.378439332431213,
20230629_073829,XGBoost,0.9999720343351086,0.9780089320967712,0.9860317950300972,0.8623853211009175,0.8159722222222222,0.8385370205173952,0.0515648542580597,0.8315904205299879,0.9049575212225632,470,75,106,12307,Models\XGBoost_model-20230629_073829.pickle,0.008,1500,9.0,4.0,0.1,0.6,0.8,0.5,0.5,,22.378439332431213,
20230629_074029,XGBoost,0.999976080083118,0.9766457862219352,0.9862633122395432,0.8618181818181818,0.8229166666666666,0.8419182948490231,0.0511536459714582,0.8349852833526361,0.9083893622462714,474,76,102,12306,Models\XGBoost_model-20230629_074029.pickle,0.008,1500,9.0,4.0,0.1,0.6,0.8,0.5,0.5,,22.378439332431213,
20230629_074246,XGBoost,0.9999722707158912,0.977494212028213,0.9854144158049082,0.8449197860962567,0.8229166666666666,0.8337730870712401,0.0515497745289856,0.8262257015195817,0.9079451690626176,474,87,102,12295,Models\XGBoost_model-20230629_074246.pickle,0.008,1500,9.0,4.0,0.1,0.6,0.8,0.5,0.5,,22.378439332431213,
20230629_074644,XGBoost,0.9999392224356328,0.97327226891314,0.9858774502238,0.8671875,0.7942754919499105,0.8291316526610645,0.0539003578800782,0.8226429879959419,0.8943955893494209,444,68,115,12331,Models\XGBoost_model-20230629_074644.pickle,0.005,1800,10.0,4.0,0.1,0.6,0.8,0.5,0.5,,22.20053715308863,
20230629_092010,XGBoost,0.9993685121452038,0.9706076516711228,0.9817867506328332,0.7710344827586207,0.8125,0.7912243453644727,0.1032018816563275,0.7820023567253006,0.900898268747179,559,166,129,15343,Models\XGBoost_model-20230629_092010.pickle,0.002,1800,10.0,4.0,0.1,0.8,0.8,0.5,0.5,,22.083610451306413,
20230629_092308,XGBoost,0.9993590285349366,0.9699809056856707,0.981971970117923,0.775766016713092,0.809593023255814,0.7923186344238976,0.103616003290133,0.7830949369675491,0.8996059770995686,557,161,131,15348,Models\XGBoost_model-20230629_092308.pickle,0.002,1800,10.0,4.0,0.1,0.8,0.8,0.5,0.5,,22.083610451306413,
20230629_092552,XGBoost,0.9993526414051768,0.970021532883382,0.9819102302895598,0.7731673582295989,0.8125,0.7923458540042523,0.1035995176084721,0.7831585488956876,0.900962747436972,559,164,129,15345,Models\XGBoost_model-20230629_092552.pickle,0.002,1800,10.0,4.0,0.1,0.8,0.8,0.5,0.5,,22.083610451306413,
20230629_092839,XGBoost,0.9993516399032304,0.9697172740659212,0.98172501080447,0.7729805013927576,0.8066860465116279,0.7894736842105264,0.1037349301655261,0.7801202259052311,0.8980880100376825,555,163,133,15346,Models\XGBoost_model-20230629_092839.pickle,0.002,1800,10.0,4.0,0.1,0.8,0.8,0.5,0.5,,22.083610451306413,
20230629_093146,XGBoost,0.999361654922694,0.9698469343382012,0.98172501080447,0.7729805013927576,0.8066860465116279,0.7894736842105264,0.1035524547953286,0.7801202259052311,0.8980880100376825,555,163,133,15346,Models\XGBoost_model-20230629_093146.pickle,0.002,1800,10.0,4.0,0.1,0.8,0.8,0.5,0.5,,22.083610451306413,
20230629_093712,XGBoost,1.0,0.9785135668757754,0.9866024572451688,0.9137134052388288,0.786472148541114,0.8453314326443334,0.0458668381812252,0.8409461396242636,0.8914229550579688,593,56,161,15387,Models\XGBoost_model-20230629_093712.pickle,0.009,1800,10.0,4.0,0.1,0.8,0.8,0.8,0.8,,22.83079941147621,
20230629_093955,XGBoost,1.0,0.9780402338642096,0.9864789775884424,0.9121725731895224,0.7851458885941645,0.8439059158945117,0.0460288419499542,0.8394518889545514,0.8907274479556978,592,57,162,15386,Models\XGBoost_model-20230629_093955.pickle,0.009,1800,10.0,4.0,0.1,0.8,0.8,0.8,0.8,,22.83079941147621,
